,"""Attribute : Canvas.figureSelected""","""Method : Canvas.mouseClicked""","""Method : Canvas.mouseDragged""","""Method : Canvas.mouseEntered""","""Method : Canvas.mouseExited""","""Method : Canvas.mouseMoved""","""Method : Canvas.mousePressed""","""Method : Canvas.mouseReleased""","""Method : Canvas.paintComponent""","""Method : Canvas.selectedFigure""","""Attribute : Canvas.start""","""Attribute : Canvas.end""","""Attribute : Canvas.figureSelected""","""Attribute : Canvas.color""","""Attribute : Main.toolPanel""","""Attribute : Main.contentPane""","""Attribute : Main.canvas""","""Attribute : Main.contentPane""","""Attribute : Main.toolPanel""","""Attribute : Main.canvas""","""Method : Main.init""","""Method : Main.initAtoms""","""Method : Main.initContentPane""","""Method : Main.initLayout""","""Method : Main.initListeners""","""Method : Main.main""","""Attribute : Main.WIDTH""","""Attribute : Main.HEIGHT""","""Attribute : Main.toolPanel""","""Attribute : Main.canvas""","""Attribute : Main.contentPane""","""Class : Main""","""Class : Canvas"""
"""Attribute : Canvas.figureSelected""",X,,X,,,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,
"""Method : Canvas.mouseClicked""",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
"""Method : Canvas.mouseDragged""",,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
"""Method : Canvas.mouseEntered""",,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
"""Method : Canvas.mouseExited""",,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
"""Method : Canvas.mouseMoved""",,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X
"""Method : Canvas.mousePressed""",,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X
"""Method : Canvas.mouseReleased""",,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X
"""Method : Canvas.paintComponent""",,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X
"""Method : Canvas.selectedFigure""",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X
"""Attribute : Canvas.start""",,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X
"""Attribute : Canvas.end""",,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X
"""Attribute : Canvas.figureSelected""",,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X
"""Attribute : Canvas.color""",,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X
"""Attribute : Main.toolPanel""",,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,
"""Attribute : Main.contentPane""",,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,
"""Attribute : Main.canvas""",,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,
"""Attribute : Main.contentPane""",,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,
"""Attribute : Main.toolPanel""",,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,
"""Attribute : Main.canvas""",,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,
"""Method : Main.init""",,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,
"""Method : Main.initAtoms""",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,
"""Method : Main.initContentPane""",,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,
"""Method : Main.initLayout""",,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,
"""Method : Main.initListeners""",,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,
"""Method : Main.main""",,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,
"""Attribute : Main.WIDTH""",,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,
"""Attribute : Main.HEIGHT""",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,
"""Attribute : Main.toolPanel""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,
"""Attribute : Main.canvas""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,
"""Attribute : Main.contentPane""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,
"""Class : Main""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
"""Class : Canvas""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X